long_result_val,long_result_valid,output_long,output_short,output_valid,short_result_val,short_result_valid,stream_val,stream_valid
-187,true,-288,-395,true,-166,true,319,true
-129,true,-187,-166,true,-47,true,240,true
-89,true,-129,-47,true,24,true,329,true
-43,true,-89,24,true,100,true,-201,true
-68,true,-43,100,true,24,true,517,true
1,true,-68,24,true,147,true,309,true
38,true,1,147,true,185,true,0,true
28,true,38,185,true,138,true,9,true
22,true,28,138,true,104,true,239,true
43,true,22,104,true,137,true,-152,true
16,true,43,137,true,64,true,-195,true
-11,true,16,64,true,-1,true,-251,true
-46,true,-11,-1,true,-66,true,-71,true
-51,true,-46,-66,true,-69,true,-100,true
-62,true,-51,-69,true,-79,true,0,true
-56,true,-62,-79,true,-60,true,558,true
20,true,-56,-60,true,94,true,44,true
19,true,20,94,true,80,true,226,true
42,true,19,80,true,116,true,0,true
35,true,42,116,true,87,true,-423,true
-25,true,35,87,true,-43,true,0,true
